                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59741,                0.51014,                 1.0539,                0.90394,                0.80969,                 0.8874,                0.64452,                 1.0499,                0.88825,                  1.498,             0.00026672,             0.00026672,             0.00026672
                      2,                0.60281,                0.46326,                 1.0449,                0.85836,                 0.8346,                  0.886,                0.60945,                 1.1766,                0.88111,                 1.6362,             0.00053922,             0.00053922,             0.00053922
                      3,                0.62633,                0.47299,                 1.0634,                0.83682,                0.77981,                0.86455,                 0.6144,                 1.1428,                0.99565,                 1.6048,             0.00080049,             0.00080049,             0.00080049
                      4,                 0.6905,                0.51989,                 1.0759,                0.82771,                0.80689,                0.88307,                0.63695,                 1.1676,                0.89254,                 1.5575,              0.0010505,              0.0010505,              0.0010505
                      5,                0.68797,                0.49551,                 1.1013,                0.75352,                0.75414,                0.76855,                0.51739,                 1.2845,                 1.1366,                 1.6837,              0.0012894,              0.0012894,              0.0012894
                      6,                0.76738,                 0.5702,                 1.1405,                0.83256,                0.75736,                 0.7746,                  0.517,                 1.2147,                0.97106,                 1.6011,               0.001502,               0.001502,               0.001502
                      7,                0.75924,                0.58733,                 1.1401,                0.77907,                0.69997,                0.75061,                0.48254,                 1.2531,                 1.2515,                 1.7391,               0.001502,               0.001502,               0.001502
                      8,                0.81983,                0.64653,                 1.1806,                0.86343,                0.79388,                0.78793,                 0.4986,                 1.4175,                 1.1469,                  1.796,               0.001469,               0.001469,               0.001469
                      9,                0.79702,                0.62185,                 1.1762,                0.77648,                0.74698,                0.80127,                0.54206,                 1.2943,                 1.1107,                 1.7472,               0.001436,               0.001436,               0.001436
                     10,                0.74368,                0.61091,                 1.1168,                0.78866,                0.77644,                0.80474,                0.56141,                 1.2678,                 1.0777,                 1.6737,              0.0014029,              0.0014029,              0.0014029
                     11,                0.82966,                0.66005,                 1.1704,                0.82652,                0.80208,                0.83215,                0.59425,                 1.2077,                0.98542,                 1.5641,              0.0013699,              0.0013699,              0.0013699
                     12,                0.74481,                0.61508,                 1.1392,                0.86244,                0.78882,                0.82671,                0.56971,                 1.3787,                 1.0005,                  1.743,              0.0013369,              0.0013369,              0.0013369
                     13,                0.75168,                0.61025,                 1.1427,                0.79008,                0.78606,                0.80998,                0.54022,                 1.2973,                 1.0351,                 1.7353,              0.0013039,              0.0013039,              0.0013039
                     14,                0.74262,                0.59757,                 1.1303,                0.82617,                0.71154,                0.80396,                0.53024,                  1.377,                 1.1043,                 1.8525,              0.0012709,              0.0012709,              0.0012709
                     15,                0.79343,                0.61295,                 1.1635,                0.73956,                 0.8141,                0.81199,                0.56394,                  1.225,                 1.0445,                 1.6882,              0.0012379,              0.0012379,              0.0012379
                     16,                0.78838,                0.63579,                 1.1687,                0.73105,                0.81365,                0.79057,                0.53592,                 1.2576,                 1.1753,                 1.6493,              0.0012049,              0.0012049,              0.0012049
                     17,                0.79343,                0.63553,                 1.1605,                0.75568,                0.77714,                0.79182,                0.55222,                 1.2732,                 1.0516,                 1.7133,              0.0011719,              0.0011719,              0.0011719
                     18,                0.76586,                0.58072,                 1.1283,                0.76799,                0.75801,                0.80325,                0.53505,                 1.2199,                0.97646,                 1.6182,              0.0011389,              0.0011389,              0.0011389
                     19,                0.74253,                0.60166,                 1.1319,                0.78833,                0.69391,                 0.7552,                0.51821,                 1.2922,                 1.1504,                 1.6438,              0.0011059,              0.0011059,              0.0011059
                     20,                0.73317,                0.57586,                 1.1354,                0.82023,                0.72196,                0.81467,                0.51815,                 1.3021,                 1.0612,                 1.7615,              0.0010729,              0.0010729,              0.0010729
                     21,                0.70016,                0.54651,                 1.1064,                0.78938,                0.79167,                0.85231,                0.56577,                 1.2078,                  0.933,                 1.7116,              0.0010399,              0.0010399,              0.0010399
                     22,                0.74626,                0.57682,                 1.1423,                 0.7504,                0.81731,                0.84946,                0.59105,                 1.1531,                0.90142,                  1.597,              0.0010069,              0.0010069,              0.0010069
