                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67818,                0.60694,                 1.0993,                0.79155,                0.85182,                0.87756,                0.63947,                  1.073,                0.92352,                 1.4905,             0.00026672,             0.00026672,             0.00026672
                      2,                0.72153,                0.54842,                 1.1163,                0.86624,                0.75756,                0.86767,                0.59909,                 1.1606,                0.94221,                 1.5465,             0.00053922,             0.00053922,             0.00053922
                      3,                0.75355,                0.58357,                  1.134,                0.80462,                0.76581,                0.80626,                0.53203,                 1.2472,                 1.0928,                   1.73,             0.00080049,             0.00080049,             0.00080049
                      4,                0.78635,                0.63673,                 1.1344,                0.90918,                0.77206,                0.88644,                0.59763,                 1.2113,                0.91002,                 1.6092,              0.0010505,              0.0010505,              0.0010505
                      5,                0.79802,                0.62308,                 1.1778,                0.73047,                 0.7801,                0.76679,                0.51043,                 1.1909,                 1.3305,                 1.5604,              0.0012894,              0.0012894,              0.0012894
                      6,                0.88513,                0.67447,                 1.2164,                0.86157,                0.74706,                0.80724,                 0.5238,                 1.3963,                 1.0994,                 1.8417,               0.001502,               0.001502,               0.001502
                      7,                0.87886,                0.72083,                 1.2131,                0.75748,                0.67308,                0.73949,                0.46108,                 1.3177,                 1.3976,                 1.7174,               0.001502,               0.001502,               0.001502
                      8,                0.90992,                0.72969,                 1.2433,                0.79679,                0.74563,                0.77589,                0.49599,                 1.4709,                 1.3428,                  1.899,               0.001469,               0.001469,               0.001469
                      9,                0.91378,                0.74075,                 1.2617,                0.76528,                 0.7584,                  0.765,                0.47918,                 1.4587,                 1.3525,                 1.8448,               0.001436,               0.001436,               0.001436
                     10,                0.87294,                0.70636,                 1.2105,                0.79752,                0.75244,                0.80701,                0.53331,                 1.4587,                 1.2039,                 1.8874,              0.0014029,              0.0014029,              0.0014029
                     11,                0.89103,                0.74138,                 1.2337,                0.85304,                 0.8181,                 0.8422,                0.56295,                 1.3148,                 1.0315,                 1.6964,              0.0013699,              0.0013699,              0.0013699
                     12,                0.83289,                0.73036,                 1.1971,                0.82016,                0.80449,                0.84225,                0.58674,                 1.2319,                0.98261,                 1.6692,              0.0013369,              0.0013369,              0.0013369
                     13,                0.84145,                0.73626,                 1.2045,                0.72621,                0.74439,                0.78404,                 0.4992,                 1.2832,                 1.1407,                 1.7215,              0.0013039,              0.0013039,              0.0013039
                     14,                0.83352,                0.70195,                 1.1845,                0.82957,                0.81849,                0.85711,                0.59671,                 1.1506,                 0.9118,                 1.6048,              0.0012709,              0.0012709,              0.0012709
                     15,                0.87923,                0.72861,                 1.2271,                0.80541,                0.75599,                 0.8352,                0.57679,                 1.2181,                0.97719,                 1.6609,              0.0012379,              0.0012379,              0.0012379
                     16,                0.86914,                 0.7021,                 1.2211,                0.73653,                0.73481,                0.79596,                0.50731,                 1.3632,                  1.164,                 1.7378,              0.0012049,              0.0012049,              0.0012049
                     17,                0.89969,                0.71603,                 1.2184,                0.84161,                 0.8001,                0.86798,                0.58178,                 1.2497,                0.97996,                 1.6381,              0.0011719,              0.0011719,              0.0011719
                     18,                0.85999,                0.66967,                 1.1777,                0.86871,                0.72436,                0.81477,                0.54327,                 1.1752,                 1.0452,                 1.5684,              0.0011389,              0.0011389,              0.0011389
                     19,                0.80378,                0.66085,                 1.1775,                0.83594,                0.74999,                0.81974,                0.56723,                 1.1809,                 1.0373,                 1.5793,              0.0011059,              0.0011059,              0.0011059
                     20,                0.82618,                0.64123,                 1.1937,                0.84883,                0.80208,                0.83444,                0.60273,                  1.088,                0.94732,                 1.4759,              0.0010729,              0.0010729,              0.0010729
                     21,                0.79728,                0.62253,                 1.1671,                0.73712,                0.80449,                0.82408,                0.58932,                 1.0781,                 0.9976,                 1.4959,              0.0010399,              0.0010399,              0.0010399
                     22,                0.83665,                0.63544,                 1.1902,                0.84801,                0.85337,                0.87624,                0.62458,                  1.064,                0.84632,                 1.4889,              0.0010069,              0.0010069,              0.0010069
                     23,                 0.7908,                0.60169,                 1.1762,                0.84641,                0.80368,                0.87964,                0.62745,                  1.074,                0.82222,                 1.5157,             0.00097386,             0.00097386,             0.00097386
